Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,Score
7/18/2015,5,2,3,6,4,9,3,2,1,5,3,6,3,8,0,3,2,2,3,5,51 or more,Female,677.9,Good
7/18/2015,4,2,5,10,10,2,5,3,2,4,2,1,1,6,10,1,2,3,4,4,21 to 35,Female,640.8,Good
7/18/2015,1,4,1,1,1,7,1,0,1,0,5,3,1,6,10,8,1,2,2,1,Less than 20,Female,557.9,Good
7/18/2015,4,2,8,6,2,10,1,1,2,6,3,5,10,8,3,3,2,10,1,2,36 to 50,Female,669.2,Good
3/24/2019 12:21,4,2,10,6,5,10,3,1,1,6,2,5,2,9,0,2,2,10,3,5,21 to 35,Female,700,Excellent
4/8/2019 23:10,4,3,5,2,8,9,5,1,1,8,5,10,4,4,5,5,2,10,7,9,21 to 35,Female,700,Excellent
7/18/2015,0,5,0,2,1,2,0,5,1,0,0,1,0,10,0,2,1,1,0,0,21 to 35,Male,571.9,Good
7/18/2015,0,5,0,2,1,2,1,5,1,1,0,1,0,10,0,2,1,1,0,0,21 to 35,Male,575.3,Good
7/18/2015,4,3,1,7,5,8,5,3,1,7,3,8,3,7,10,1,2,3,9,4,21 to 35,Female,678.1,Good
7/19/2015,5,2,4,5,4,4,2,1,1,4,4,6,3,7,8,3,1,4,8,8,21 to 35,Male,648.8,Good
7/19/2015,1,1,10,2,1,5,1,0,1,5,4,8,1,6,5,0,2,4,1,7,21 to 35,Male,649,Good
7/19/2015,2,5,6,4,10,0,10,3,1,5,1,2,1,9,0,4,1,10,1,10,36 to 50,Female,656.9,Good
7/19/2015,3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,2,5,4,8,21 to 35,Female,680.7,Good
7/19/2015,3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,1,5,4,8,21 to 35,Female,663.7,Good
7/19/2015,2,1,3,3,2,4,1,5,2,5,2,10,1,7,0,1,2,5,3,10,21 to 35,Male,661.5,Good
7/19/2015,3,1,1,1,1,3,1,1,1,0,0,6,0,7,2,2,2,3,1,1,51 or more,Female,609.7,Good
7/19/2015,3,2,6,4,10,10,1,1,2,7,0,1,1,8,0,1,2,6,2,6,21 to 35,Female,656.5,Good
7/10/2019 5:23,3,3,10,3,7,10,10,2,1,9,5,7,1,7,5,4,2,4,2,10,21 to 35,Female,700,Excellent
7/19/2015,3,5,4,0,2,3,0,5,1,8,2,10,0,4,0,0,2,5,1,10,21 to 35,Female,657.5,Good
3/22/2016,0,5,0,0,0,0,0,0,2,0,0,1,0,1,10,10,1,0,0,0,Less than 20,Male,480,Poor
7/20/2015,4,3,10,8,10,10,4,5,2,10,2,7,5,6,10,1,2,10,1,3,51 or more,Male,694.7,Good
7/20/2015,5,1,10,4,2,2,0,1,1,10,1,4,0,8,10,2,2,4,5,10,51 or more,Female,662.2,Good
9/15/2019 17:13,4,4,8,4,10,10,5,5,1,8,1,7,5,7,1,3,2,3,2,4,21 to 35,Male,700,Excellent
7/20/2015,5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,36 to 50,Female,694,Good
7/20/2015,5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,36 to 50,Female,694,Good
2/5/2020 22:47,5,2,1,6,3,4,10,3,1,10,4,6,10,8,7,5,1,10,8,10,Less than 20,Female,700,Excellent
4/21/2016,0,5,0,0,0,0,0,0,2,0,0,1,0,1,10,10,1,0,0,0,21 to 35,Male,480,Poor
7/20/2015,1,1,2,2,1,3,4,0,1,2,2,8,10,8,0,1,2,1,1,10,Less than 20,Male,654.5,Good
7/20/2015,5,1,6,4,10,4,5,1,2,10,1,1,10,8,0,3,2,0,3,10,51 or more,Female,680.3,Good
10/22/2016,0,5,0,0,0,0,0,0,2,0,0,1,0,1,10,10,1,0,0,0,21 to 35,Female,480,Poor
7/20/2015,3,4,8,7,5,7,8,2,2,7,2,3,4,6,6,5,2,10,0,4,21 to 35,Female,651.4,Good
3/13/2020 13:44,5,4,10,10,6,10,4,1,1,4,2,7,5,7,0,1,2,7,2,3,21 to 35,Female,700,Excellent
7/20/2015,5,2,3,6,10,10,5,2,2,5,2,6,0,6,1,0,2,8,2,5,51 or more,Female,677.5,Good
7/20/2015,4,4,8,2,10,10,6,5,2,6,5,7,8,6,10,0,2,10,3,7,51 or more,Female,696.4,Good
7/20/2015,2,4,10,6,4,5,3,1,1,8,1,2,2,8,0,1,1,10,6,4,36 to 50,Female,658.4,Good
3/27/2020 17:14,4,1,10,8,6,3,5,3,1,1,2,8,7,6,0,2,2,5,2,7,36 to 50,Female,700,Excellent
4/16/2020 11:16,2,4,7,6,10,6,1,5,1,9,6,8,4,6,5,1,2,5,2,10,51 or more,Female,700,Excellent
7/20/2015,3,4,4,7,4,4,10,5,2,6,1,9,8,6,0,9,2,7,1,10,36 to 50,Female,676.4,Good
7/20/2015,3,4,1,4,2,5,2,2,2,1,1,9,0,6,7,10,2,2,0,10,21 to 35,Female,594.8,Good
4/27/2020 11:19,4,2,8,7,8,7,7,4,2,8,5,6,6,8,10,2,2,6,6,8,51 or more,Female,700,Excellent
7/20/2015,3,4,3,1,4,3,4,0,1,5,0,7,1,6,1,7,2,10,1,10,21 to 35,Male,640.3,Good
7/21/2015,3,2,2,3,8,10,2,1,1,8,1,8,8,7,2,2,2,2,1,7,36 to 50,Male,678.1,Good
7/21/2015,2,3,10,4,10,10,3,1,2,8,3,4,3,6,0,1,2,10,1,7,36 to 50,Male,678.8,Good
7/21/2015,1,5,0,1,1,3,4,1,2,1,0,1,0,10,10,6,2,3,0,1,36 to 50,Female,551.5,Good
7/21/2015,5,5,2,2,10,8,1,0,1,9,2,10,3,6,3,3,1,4,2,1,21 to 35,Female,639.2,Good
8/25/2020 12:58,5,3,7,6,10,6,8,4,2,8,8,7,4,7,8,8,2,10,7,6,21 to 35,Male,700,Excellent
7/21/2015,1,3,10,6,7,10,7,3,1,9,4,5,5,7,4,2,2,7,3,3,21 to 35,Female,697.9,Good
7/21/2015,2,3,6,3,5,5,5,3,1,5,3,4,4,7,0,1,2,5,4,4,51 or more,Female,670.5,Good
7/21/2015,4,3,8,10,10,10,2,1,1,4,3,3,10,7,7,6,1,5,2,6,36 to 50,Female,666.9,Good
7/21/2015,5,4,3,10,4,8,6,2,2,4,0,8,5,6,0,5,1,4,2,3,21 to 35,Male,638.8,Good
7/21/2015,5,4,10,3,10,8,0,5,2,3,1,5,2,6,0,3,1,4,5,6,21 to 35,Female,651.8,Good
7/21/2015,3,2,2,3,2,3,4,1,1,8,3,10,1,9,8,2,1,4,2,9,21 to 35,Male,639.8,Good
7/22/2015,3,2,3,8,8,5,3,5,1,5,1,6,10,7,0,6,2,2,2,7,36 to 50,Female,687.9,Good
7/22/2015,2,3,6,10,3,4,0,1,2,1,2,2,0,7,9,1,2,1,0,2,21 to 35,Female,593.6,Good
7/22/2015,3,4,10,8,8,3,1,1,1,6,1,5,0,8,10,7,1,10,1,3,21 to 35,Female,626.7,Good
7/22/2015,2,2,5,1,0,10,10,1,1,7,3,3,3,6,1,1,1,10,1,7,21 to 35,Male,658.2,Good
7/22/2015,1,2,0,4,1,1,1,0,1,8,0,1,0,7,0,3,1,5,5,7,51 or more,Female,605.3,Good
7/23/2015,3,2,3,6,5,9,6,4,2,5,4,1,5,6,3,2,1,10,2,2,36 to 50,Female,645.9,Good
7/23/2015,2,2,3,6,3,2,5,3,1,4,3,6,2,8,2,0,2,5,5,6,21 to 35,Male,669.4,Good
7/23/2015,1,3,2,5,1,2,1,0,1,2,1,10,0,7,0,0,1,0,0,7,21 to 35,Female,605.4,Good
7/23/2015,3,2,9,7,7,5,3,4,2,9,2,5,10,6,0,3,2,5,2,8,51 or more,Female,690.9,Good
11/10/2020 8:24,5,3,10,6,5,10,3,2,1,8,4,5,4,9,0,5,2,5,4,4,36 to 50,Female,700,Excellent
11/11/2020 3:32,2,1,0,4,8,4,3,5,1,8,6,10,3,4,0,1,2,10,6,3,51 or more,Male,700,Excellent
7/23/2015,3,5,0,3,2,10,0,0,2,10,1,10,10,6,0,4,1,0,3,10,21 to 35,Female,627.3,Good
7/24/2015,2,5,0,10,3,2,4,1,1,5,2,4,0,8,0,10,2,10,3,10,51 or more,Female,643.5,Good
7/24/2015,2,1,1,0,0,6,2,0,1,5,2,8,2,7,2,3,2,5,4,4,21 to 35,Male,637.3,Good
7/24/2015,1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,21 to 35,Female,665.3,Good
7/24/2015,1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,21 to 35,Female,665.3,Good
11/12/2020 1:18,2,1,0,4,8,4,3,5,1,8,6,10,3,4,0,1,2,10,6,3,51 or more,Male,700,Excellent
7/24/2015,5,3,0,6,5,10,2,1,1,9,3,9,2,5,2,6,1,3,5,3,21 to 35,Female,649,Good
12/12/2020 12:06,4,3,4,0,9,3,10,3,1,6,7,7,10,7,0,9,2,6,5,7,51 or more,Male,700,Excellent
2/19/2021 12:28,3,0,10,7,8,6,2,5,2,8,1,6,1,8,0,1,2,3,5,10,51 or more,Female,700,Excellent
7/24/2015,3,5,0,7,2,5,1,2,1,3,1,9,0,7,0,8,2,6,0,10,36 to 50,Female,637.5,Good
7/24/2015,2,3,0,7,2,5,2,3,1,3,2,9,0,4,0,3,1,5,1,7,21 to 35,Female,628.4,Good
7/24/2015,3,4,3,5,0,5,2,1,1,3,4,3,4,5,0,3,2,2,4,5,Less than 20,Male,634.2,Good
7/24/2015,5,4,3,7,4,4,3,3,1,2,0,3,0,9,1,5,2,5,3,8,21 to 35,Male,653.7,Good
7/25/2015,1,3,3,5,6,2,10,0,1,8,2,10,0,8,10,0,1,10,4,10,21 to 35,Male,656.6,Good
7/25/2015,2,0,0,10,2,5,2,0,1,10,1,1,0,10,0,0,2,1,7,10,36 to 50,Female,670.5,Good
7/25/2015,1,2,2,1,3,7,1,1,2,2,1,1,0,8,5,0,2,0,0,4,36 to 50,Female,588.5,Good
7/25/2015,2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,36 to 50,Female,672.8,Good
7/25/2015,5,4,10,3,3,10,4,4,1,7,2,10,3,6,3,2,2,6,3,5,21 to 35,Male,695.3,Good
7/25/2015,2,3,2,5,6,5,1,1,2,6,1,2,1,6,0,5,1,5,1,1,36 to 50,Male,591.7,Good
7/25/2015,3,2,10,5,1,10,2,0,2,8,3,5,0,9,0,7,2,3,1,8,21 to 35,Female,649,Good
6/27/2018,5,5,10,3,6,7,3,5,1,4,7,1,5,5,0,4,2,10,4,10,Less than 20,Female,700.1,Excellent
7/25/2015,1,1,4,6,6,4,6,0,1,9,4,3,2,6,0,1,2,10,2,4,Less than 20,Female,673.5,Good
7/25/2015,0,4,1,1,8,3,1,1,1,1,1,4,3,5,0,8,2,1,0,4,21 to 35,Female,595.3,Good
7/26/2015,3,4,4,6,10,10,0,3,2,4,1,10,5,7,5,4,2,10,6,5,51 or more,Female,671.7,Good
7/26/2015,3,4,3,4,2,3,3,4,1,0,1,10,3,5,2,7,2,0,2,3,Less than 20,Female,625.4,Good
8/6/2015,4,2,4,3,10,10,4,0,1,10,0,8,10,7,0,7,2,5,2,10,36 to 50,Female,700.2,Excellent
11/23/2015,5,1,7,6,8,2,7,5,2,5,4,7,5,8,0,0,2,7,2,4,51 or more,Female,700.2,Excellent
11/26/2015,4,3,3,8,9,10,4,3,1,7,8,9,3,6,5,6,2,3,7,6,36 to 50,Female,700.2,Excellent
3/7/2016,3,2,10,10,3,3,6,1,1,8,2,8,0,7,0,0,2,10,2,7,21 to 35,Female,700.2,Excellent
7/26/2015,5,2,5,4,7,1,3,5,2,9,1,7,10,6,1,1,2,4,8,4,51 or more,Female,687.9,Good
8/29/2016,4,3,10,5,4,10,6,0,1,7,2,8,2,7,0,2,2,10,5,4,Less than 20,Female,700.2,Excellent
7/26/2015,5,3,10,10,5,5,10,3,2,8,2,5,2,7,10,9,2,5,3,7,51 or more,Female,665.6,Good
7/26/2015,1,2,4,3,1,2,0,1,2,2,0,2,3,8,0,2,1,4,0,1,21 to 35,Male,576.8,Good
7/26/2015,2,5,5,6,2,4,6,0,2,3,1,5,5,6,10,10,2,10,3,3,36 to 50,Female,602.5,Good
7/26/2015,3,4,10,5,8,4,3,5,1,5,4,7,0,6,10,2,2,5,2,7,36 to 50,Female,669.2,Good
7/26/2015,2,2,2,6,4,4,5,5,1,6,2,4,4,7,0,3,2,8,4,6,36 to 50,Female,680.7,Good
7/27/2015,5,5,5,5,10,10,3,4,1,4,5,4,0,9,0,3,2,3,9,5,36 to 50,Female,694.7,Good
7/27/2015,3,4,2,2,10,3,1,5,2,3,4,1,0,9,7,0,2,3,0,0,36 to 50,Female,612.5,Good
7/27/2015,4,3,10,6,4,7,1,1,1,7,2,5,1,7,1,3,2,6,2,10,36 to 50,Male,679.2,Good
7/27/2015,2,3,5,3,0,10,3,1,1,7,6,3,2,8,5,1,2,10,6,10,21 to 35,Male,677.3,Good
1/19/2017,5,3,10,9,4,10,5,0,1,7,4,9,4,6,1,2,2,4,2,5,Less than 20,Female,700.2,Excellent
7/27/2015,3,5,6,3,6,4,3,2,1,10,4,2,1,8,0,2,1,10,4,7,36 to 50,Female,658.4,Good
3/11/2017,4,2,4,6,10,10,0,5,2,8,3,8,5,7,5,1,2,10,5,6,51 or more,Female,700.2,Excellent
7/27/2015,5,5,5,5,6,10,0,0,1,0,4,6,5,6,10,8,1,10,1,3,Less than 20,Female,619.7,Good
7/27/2015,4,3,4,7,4,5,2,0,1,8,2,6,5,7,0,3,2,7,3,5,21 to 35,Female,672.6,Good
7/27/2015,3,3,0,2,3,3,0,3,2,8,0,3,0,8,0,3,2,2,0,1,36 to 50,Female,602.5,Good
7/27/2015,4,3,1,7,10,4,2,5,1,8,2,5,3,7,4,0,2,9,1,7,51 or more,Female,689.4,Good
7/27/2015,3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,51 or more,Male,683.7,Good
7/27/2015,3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,51 or more,Male,683.7,Good
7/27/2015,1,5,0,1,6,4,4,3,1,9,6,4,3,6,6,1,2,6,0,1,51 or more,Female,632.9,Good
7/27/2015,1,1,5,5,3,7,5,1,1,5,2,5,1,8,0,3,2,10,1,4,21 to 35,Male,665.8,Good
6/16/2017,3,1,7,7,6,4,3,5,1,7,1,7,4,8,0,1,2,3,0,10,Less than 20,Male,700.2,Excellent
10/14/2017,5,2,5,7,5,6,2,2,1,8,3,7,3,8,0,2,2,5,5,8,21 to 35,Female,700.2,Excellent
7/27/2015,1,3,1,2,2,1,2,0,2,2,0,3,0,10,10,4,1,2,0,10,21 to 35,Male,558.7,Good
11/10/2017,3,2,10,3,10,8,0,5,1,8,1,8,0,7,3,1,2,5,2,10,36 to 50,Male,700.2,Excellent
7/28/2015,3,2,2,3,2,5,4,3,1,6,3,3,0,7,2,4,1,8,4,4,21 to 35,Female,636.3,Good
7/28/2015,3,3,3,8,4,1,2,4,2,4,1,2,2,9,10,4,1,7,1,6,21 to 35,Female,604.2,Good
7/28/2015,1,4,4,6,10,7,2,3,2,2,5,2,2,5,4,1,1,8,1,5,51 or more,Male,620.4,Good
7/28/2015,3,4,5,5,10,6,3,3,1,7,1,10,1,5,7,5,2,0,0,3,21 to 35,Female,645.8,Good
7/28/2015,3,4,10,1,4,1,3,1,2,6,2,9,1,6,10,2,1,4,1,2,21 to 35,Male,594.8,Good
7/28/2015,2,3,2,10,1,10,7,2,2,10,5,10,4,6,10,1,2,6,5,8,21 to 35,Male,674.9,Good
11/23/2017,3,2,4,4,4,9,6,1,1,8,4,7,8,8,0,3,2,6,4,7,51 or more,Male,700.2,Excellent
7/29/2015,2,1,2,2,0,1,1,3,2,1,2,1,1,6,0,10,2,5,0,10,51 or more,Male,596.6,Good
7/29/2015,5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,Less than 20,Male,680.5,Good
7/29/2015,5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,Less than 20,Male,680.5,Good
5/29/2018,4,2,4,7,7,10,5,5,2,6,1,8,10,7,0,1,2,5,5,2,36 to 50,Female,700.2,Excellent
7/29/2015,3,3,6,5,8,2,2,0,2,5,2,10,0,7,0,2,2,5,1,3,51 or more,Female,639.4,Good
7/29/2015,5,1,7,3,0,9,5,2,1,5,3,7,10,8,0,2,2,2,1,9,21 to 35,Female,698.5,Good
7/29/2015,0,1,10,9,8,10,1,1,1,2,1,2,1,8,2,4,1,8,0,1,21 to 35,Male,639.7,Good
7/23/2018,3,2,5,7,10,10,5,3,2,8,4,7,7,8,10,3,2,10,6,8,21 to 35,Female,700.2,Excellent
7/29/2015,2,2,8,4,4,5,3,3,1,3,2,9,1,7,10,4,2,7,2,8,21 to 35,Female,657.9,Good
7/29/2015,4,2,4,6,1,10,1,1,2,5,6,3,2,8,0,1,2,4,1,10,51 or more,Female,658.6,Good
7/23/2018,5,2,5,10,3,10,3,1,1,8,4,8,5,7,0,1,2,2,1,7,36 to 50,Female,700.2,Excellent
8/25/2018,4,3,4,8,10,5,5,5,1,4,1,8,4,7,0,4,2,8,2,6,51 or more,Female,700.2,Excellent
7/29/2015,3,4,6,7,6,6,1,5,2,9,1,9,1,5,0,7,2,4,0,0,21 to 35,Female,642.2,Good
5/7/2019 8:13,2,1,10,8,5,5,6,4,1,6,3,7,5,8,1,2,2,5,3,2,21 to 35,Female,700.2,Excellent
7/30/2015,2,3,10,10,10,8,5,2,1,5,3,6,0,7,0,1,1,10,5,10,21 to 35,Female,699.8,Good
7/30/2015,4,2,0,2,10,10,0,5,1,7,6,5,0,7,10,2,1,5,8,8,51 or more,Male,665.6,Good
7/30/2015,3,3,6,9,8,5,4,3,2,7,7,1,4,10,3,3,2,3,6,7,Less than 20,Female,677.3,Good
5/8/2019 1:00,2,3,5,9,7,5,7,4,2,10,3,10,4,5,0,1,2,6,4,10,51 or more,Female,700.2,Excellent
7/30/2015,0,3,4,5,4,5,4,5,1,2,2,1,1,6,0,5,1,5,1,10,21 to 35,Female,628.9,Good
7/30/2015,2,5,1,4,4,4,0,1,1,2,0,1,0,8,0,4,1,2,1,3,21 to 35,Female,583.4,Good
7/30/2015,0,4,0,4,0,3,2,0,2,5,3,1,1,8,5,1,2,3,5,9,21 to 35,Male,597,Good
7/30/2015,5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,21 to 35,Female,679.8,Good
7/30/2015,2,4,2,0,9,8,0,2,1,2,2,4,2,9,0,8,1,4,4,10,36 to 50,Male,628.4,Good
7/30/2015,2,4,2,10,5,5,3,5,2,2,2,1,0,5,0,5,2,10,0,2,36 to 50,Male,627,Good
9/25/2019 5:26,1,0,10,3,5,5,5,5,2,5,3,10,9,5,2,1,2,10,1,10,36 to 50,Male,700.2,Excellent
3/1/2020 9:50,4,3,4,8,8,10,4,3,1,5,3,8,4,7,5,3,2,6,3,10,36 to 50,Male,700.2,Excellent
7/31/2015,1,4,3,6,5,7,5,5,1,4,1,1,6,7,0,3,1,10,2,10,Less than 20,Female,661.4,Good
7/31/2015,5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,21 to 35,Female,679.8,Good
7/31/2015,2,4,4,8,4,4,0,0,2,8,3,4,3,6,6,7,2,5,1,8,36 to 50,Male,615.9,Good
4/4/2020 17:15,4,3,10,3,8,6,6,1,1,7,3,8,6,7,0,3,2,5,3,7,51 or more,Female,700.2,Excellent
7/31/2015,3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,36 to 50,Male,677,Good
7/31/2015,3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,36 to 50,Male,677,Good
7/31/2015,4,4,5,5,3,10,4,0,2,9,1,3,4,7,3,3,2,10,1,2,51 or more,Male,644.8,Good
8/30/2020 10:23,5,4,10,10,10,7,6,5,1,7,2,8,1,7,2,10,2,5,2,5,36 to 50,Female,700.2,Excellent
